EpochTime;S1;S2;S3;S4;S5;S6;S7;S8;S9;S10
1759494816.143051;72533.05;79911.77;87865.84;153272.36;132263.67;46718.54;33991.30;47406.77;29955.02;67375.01
1759494816.256269;73333.33;80491.47;86935.91;149273.78;131475.28;46095.24;33887.09;48054.44;30135.42;67641.80
1759494816.36912;74249.98;80608.20;87999.98;148948.80;129157.71;46250.00;33714.29;48492.96;30317.07;67286.43
1759494816.482176;74663.10;81195.88;91036.39;146078.41;126663.39;46509.50;33645.46;49048.89;30530.61;67286.43
1759494816.595099;74352.93;81432.84;92910.70;141502.72;124012.93;47246.73;33474.14;49613.66;30591.94;67109.80
1759494816.708148;74456.12;82512.75;95918.86;136888.91;120547.46;47246.73;33748.76;50829.43;30591.94;66846.14
1759494816.821082;74870.98;83368.40;95457.64;129411.77;117027.80;47087.42;33748.76;50770.60;30500.00;66758.61
1759494816.934216;75184.48;82877.75;94848.27;124012.93;113270.25;47193.55;33645.46;52209.22;30347.47;66933.87
1759494817.047123;75079.75;81670.88;92472.67;117242.68;110680.41;47460.29;33645.46;52393.07;30317.07;66497.04
1759494817.160161;74766.93;81910.02;91320.75;114499.98;108376.29;46823.53;33236.05;50711.87;30075.14;66497.04
1759494817.273024;73131.99;81910.02;92182.51;116387.12;107625.93;46457.45;32932.92;50072.01;30045.06;66846.14
1759494817.3861592;72731.86;81910.02;95000.02;120999.98;109518.27;45432.63;32533.90;48992.91;30105.26;66758.61
1759494817.499089;72236.41;81910.02;96383.71;127651.17;112462.68;44981.41;32566.93;48492.96;29985.00;67021.75
1759494817.612092;72433.96;82755.80;99251.67;136052.66;116174.88;45131.14;32633.11;48658.82;30105.26;66933.87
1759494817.7250502;72931.51;82999.98;100905.89;148948.80;124250.04;47193.55;32966.45;48658.82;30105.26;66410.20
1759494817.838448;73232.55;82270.82;100738.45;157820.33;130179.05;50711.87;33371.85;48825.47;29985.00;66758.61
1759494817.95111;72731.86;82512.75;97960.05;162989.77;131999.98;55264.16;33679.85;48327.87;29985.00;67552.69
1759494818.064353;72731.86;81077.80;97166.66;167264.70;133865.02;58222.62;33887.09;48000.01;29805.64;68633.80
1759494818.1770492;72236.41;80027.19;94545.95;166472.80;129922.42;59382.11;33956.53;47087.42;29805.64;70116.55
1759494818.2900999;71357.52;79111.13;91749.99;161857.17;123776.66;59308.66;33852.44;45992.46;30256.38;70972.15
1759494818.403044;69741.34;76244.27;86804.34;155692.28;116174.88;58653.54;33991.30;44585.37;30256.38;71648.66
1759494818.516063;67641.80;74870.98;83739.45;148948.80;111466.66;59529.41;34200.88;44096.85;29480.00;72039.66
1759494818.6290612;66758.61;73738.56;81910.02;135500.03;104353.43;59455.69;34200.88;43424.83;28217.39;71843.75
1759494818.7422779;65978.51;71746.10;80842.47;128652.17;101073.79;58365.75;33921.79;43093.93;27939.02;71357.52
1759494818.854979;65212.00;70780.65;79567.09;124487.84;99578.93;57584.82;33921.79;42673.37;27911.36;71454.37
1759494818.9681091;64791.91;70022.46;78546.86;122143.98;98764.06;57796.29;33679.85;42953.13;27663.73;70589.95
1759494819.081068;64875.60;69928.56;79681.73;122143.98;99251.67;57796.29;33783.28;43000.00;27609.03;70876.30
1759494819.194508;64458.73;69928.56;78997.77;120999.98;97800.52;57514.57;33783.28;43235.33;27581.73;70685.20
1759494819.3070788;64791.91;69928.56;78884.67;123072.44;97800.52;56957.05;33783.28;43759.13;27527.21;70305.32
1759494819.419998;64210.54;69928.56;79338.59;124250.04;97166.66;53769.55;33679.85;45081.16;27691.12;70685.20
1759494819.533035;64293.11;70972.15;80725.20;126418.47;95918.86;51065.69;33817.85;46301.75;27994.45;70494.88
1759494819.64616;65127.66;71843.75;81077.80;129157.71;98120.00;49899.43;34165.84;47621.32;28527.20;69461.92
1759494819.75909;65636.19;71843.75;82877.75;129157.71;100073.15;49556.79;34235.96;48603.45;29013.59;70589.95
1759494819.872115;66497.04;72632.35;83245.31;127155.65;99907.96;49386.68;34095.89;48437.84;30075.14;70022.46
1759494819.985055;67109.80;73738.56;83245.31;125931.05;101580.27;48881.20;33817.85;49273.73;31244.68;69928.56
1759494820.098439;68816.53;72533.05;85250.00;118327.12;96695.66;48992.91;33542.54;49842.10;31529.41;69648.01
1759494820.211054;69834.85;71454.37;86673.09;113067.45;90471.91;49217.39;34130.84;49842.10;31785.08;69928.56
1759494820.324058;71454.37;72039.66;87865.84;106150.77;87732.02;49386.68;35018.98;51065.69;31625.00;69928.56
1759494820.4370408;73232.55;71357.52;86411.55;97800.52;79796.62;49273.73;35824.14;51542.86;31244.68;69276.59
1759494820.550048;71551.41;69928.56;81910.02;92037.97;72433.96;49386.68;36462.04;52087.16;30900.76;68633.80
1759494820.662983;71260.88;69554.87;79111.13;87732.02;69000.00;49613.66;36614.18;51363.19;30745.90;68451.80
1759494820.776028;70685.20;69092.01;78659.20;86804.34;68361.09;49161.14;36122.58;50419.62;30653.42;68633.80
1759494820.889029;69928.56;68725.08;79911.77;86673.09;69369.16;48937.01;35200.00;49670.64;30715.04;68633.80
1759494821.002086;69834.85;69092.01;82877.75;90753.45;73232.55;48548.16;34482.76;48825.47;30561.26;69000.00
